,fullpath,tempo,genre,dataset
103,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1286448.clip.wav,106.0,,acm
104,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12906077.clip.wav,64.0,,acm
105,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12906123.clip.wav,130.0,,acm
106,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/129214.clip.wav,96.0,,acm
107,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12933803.clip.wav,135.0,,acm
108,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/12937673.clip.wav,80.0,,acm
109,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/129570.clip.wav,40.0,,acm
110,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/129667.clip.wav,83.0,,acm
111,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13001524.clip.wav,163.0,,acm
112,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13015526.clip.wav,95.0,,acm
113,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13036093.clip.wav,140.0,,acm
114,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13041056.clip.wav,180.0,,acm
115,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13057714.clip.wav,74.0,,acm
116,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13065657.clip.wav,58.0,,acm
117,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13080436.clip.wav,99.0,,acm
118,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13086293.clip.wav,164.0,,acm
119,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13124455.clip.wav,129.5,,acm
120,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13167246.clip.wav,59.0,,acm
121,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13363048.clip.wav,120.5,,acm
122,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13376370.clip.wav,75.0,,acm
123,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13379593.clip.wav,113.5,,acm
124,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13395611.clip.wav,100.0,,acm
125,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13409028.clip.wav,163.0,,acm
126,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13497656.clip.wav,108.5,,acm
127,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13526.clip.wav,193.0,,acm
128,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13527252.clip.wav,111.0,,acm
129,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13539216.clip.wav,75.0,,acm
130,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1355189.clip.wav,168.0,,acm
131,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1355192.clip.wav,160.0,,acm
132,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1355205.clip.wav,146.0,,acm
133,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1355227.clip.wav,114.0,,acm
134,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13561397.clip.wav,78.5,,acm
135,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1356747.clip.wav,134.5,,acm
136,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1358509.clip.wav,66.5,,acm
137,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1358518.clip.wav,105.0,,acm
138,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1359069.clip.wav,83.0,,acm
139,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1360689.clip.wav,129.0,,acm
140,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13699674.clip.wav,98.0,,acm
141,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13827808.clip.wav,178.5,,acm
142,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1385008.clip.wav,79.0,,acm
143,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1385105.clip.wav,90.0,,acm
144,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13851876.clip.wav,69.0,,acm
145,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1385258.clip.wav,82.5,,acm
146,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13876361.clip.wav,141.0,,acm
147,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/13876365.clip.wav,144.5,,acm
148,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1390423.clip.wav,107.0,,acm
149,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1391446.clip.wav,64.0,,acm
150,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1393855.clip.wav,115.0,,acm
151,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1393863.clip.wav,42.0,,acm
152,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/139591.clip.wav,111.0,,acm
153,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1401926.clip.wav,82.5,,acm
154,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1408633.clip.wav,120.0,,acm
155,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14090415.clip.wav,55.0,,acm
156,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14094317.clip.wav,108.0,,acm
157,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1410925.clip.wav,106.0,,acm
158,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14180121.clip.wav,72.0,,acm
159,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14200123.clip.wav,74.0,,acm
160,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1430598.clip.wav,158.0,,acm
161,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1432020.clip.wav,64.0,,acm
162,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1433718.clip.wav,45.0,,acm
163,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1433734.clip.wav,91.0,,acm
164,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14338821.clip.wav,143.0,,acm
165,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1434881.clip.wav,87.5,,acm
166,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1435115.clip.wav,136.5,,acm
167,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1435815.clip.wav,53.0,,acm
168,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/143682.clip.wav,69.0,,acm
169,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/143716.clip.wav,61.0,,acm
170,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/143807.clip.wav,79.0,,acm
171,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1441415.clip.wav,67.0,,acm
172,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1441444.clip.wav,98.0,,acm
173,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1447613.clip.wav,69.0,,acm
174,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/1448.clip.wav,65.0,,acm
175,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14519480.clip.wav,61.0,,acm
176,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14600040.clip.wav,82.0,,acm
177,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14634350.clip.wav,132.0,,acm
178,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14654637.clip.wav,155.0,,acm
179,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/146658.clip.wav,115.0,,acm
180,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/146847.clip.wav,77.0,,acm
181,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/147903.clip.wav,91.0,,acm
182,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/148097.clip.wav,94.0,,acm
183,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/148131.clip.wav,115.0,,acm
184,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/148207.clip.wav,81.0,,acm
185,D:\Users\franc\Documents\IMF - Deep Learning\Trabajo Master\Datasets\acm_mirum/acm_mirum_tempo/14822144.clip.wav,80.0,,acm
